ID,Title,Location,Salary,Summary
1eae997b387cb491,2022년 미국 카네기멜론 대학교 AI 집중 교육프로그램 파견 교육생,서울,,게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임... 시스템분석·설계>빅데이터|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>소프트웨어|인터넷...
2fee2c7a6bc4e321,new국가관세종합정보망운영연합회 상반기 신입(공채1기),서울 종로구,,통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>빅데이터|인터넷·IT·통신·모바일·게임>ERP·시스...
66b192eca99fa208,new인공지능분야 개발연구원,서울 마포구,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
c2d17e5250562256,"[리얼클래스]백엔드 개발자 (Backend Developer, Python)",서울 강남구,,"[프로덕트그룹 소개]퀄슨 프로덕트 그룹은 퀄슨의 연구개발 조직으로, 유저의 학습경험 향상을 위한 제품개발과 운영효율 최적화를 위한 시스템을 만듭니다. 다양한 학습 컨텐츠를 더 나은 환경에서 제공하고, 진단을 통해 학습 효율성을..."
52519968a9441b4d,new한국대표부 민간파트너십팀 데이터 분석 담당 직원,서울 을지로동,,"데이터베이스 관리를 위한 프로그래밍 언어 1개 이상 가능자 (SQL, Python 등) 7. 유창한 한국어 및 영어 구사 능력을 가진 자 (작문... management (SQL, Python, etc.) 7..."
f56b4b9b5fa26dc9,new서울대학교 AI연구원 인턴,서울 관악구,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
444cf80dd61163ec,[HYBE] 데이터분석,서울 용산구,,있습니다. [주요 업무책임] 인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>빅데이터|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
6d86e9f32d31c84f,LG CNS,서울,,"해가 뛰어난 자 - R, Python, SAS, SQL 등 활용 역량 우대사항(해당 내용 중 1개 이상) - ML/DL 경험 인력 우대 - 관련 분야 석사 이상 학위 소지자 우대 - R, Python등 데이터분석 모델링 경험..."
d5b3958637d1f0a6,2022년 4월 롯데멤버스 신입사원 일반전형,서울 중구,,통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>R|인터넷·IT·통신·모바일·게임>ERP·시스템분...
fbed10c0a508a8b7,2022년 새일직업교육훈련 교육생,서울 용산구,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
a5680079cf9c5a5c,new[플레이채팅 유닛(CIC)] 서버 개발자 영입,성남 판교역,,"분 AWS, GCP등의 클라우드 기반에서 개발 경험 있으신 분 C++, Java, Kotlin, Go, Python, Javascript 등 하나 이상의 프로그래밍 언어에 능숙하신 분 논리적이고 체계적인 문제 해결 능력 및..."
e7b657db4a6471c3,Data Engineering 분야 전문가/개발자,서울 중구,,보유 경력 : 3년 이상- 학력/전공 : 학사 이상 / 전공 무관- Python 프로그래밍 역량 보유- Airflow와 같은 Workflow 도구를... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...
f54bac6c78fd3240,코딩에 빠진 수퍼 개발자 (펌웨어 개발),성남 수정구,,"학력무관직무기술: 펌웨어(Firmware), Embedded System S/W 개발(판교) c/c++, Python 3 명 근무조건 고용형태: 정규직근무부서: 개발팀급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단..."
e3bb1af4853122a1,Business Intelligence Strategist,서울 강남구,,"을 통하여 추출한 뒤 Data Studio에 시각화합니다.값을 얻는데 필요한 기술에 (i.e. Excel, Python, SQL, R 등) 제약은 존재하지 않고 필요에 따라 ML도 사용할 수 있으며, 이는 전적으로 파일 작성..."
6ac0f86a11f77561,new내비게이션 SW 검증 자동화 스크립트 개발(Python) 직무,서울 성동구,"연봉 24,000,000원 - 28,000,000원",직무내용] 현대오토에버사의 1차 협력업체채용분야 1. 내비게이션 SW 검증 자동화 스크립트 개발( Python) 직무 2. 차량용 내비게이션 SW 개발 및 유지보수 직무- 사업 분야 차량용 내비게이션 시스템 개발 및 유지보수...
89da943e9a11af36,각 부문별,서울 서초구,,세히보기 FLO 사업 관리 담당자 자세히보기 Data Engineer( Python Backend 경력자) 자세히보기 서비스 기획자(Senior) 자세... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
f1751259fa682ac4,Data Scientist (토스신용데이터),서울 강남구,,통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL
9e154b5b00d09b31,Software Engineer - Python and K8s,서울,,"we are building a new community around Python opscode for open source applications... who enjoy Python, have a passion..."
42dc34d846250c97,new바른ICT연구소 프로그래머 인턴,서울 신촌역,,"악성댓글 데이터베이스 구축 및 크롤링 악성댓글 임베딩 악성댓글 분류 연구 4. 우대사항 Python, Matlab 기반 실험 경험 딥러닝 기반 실험 경험 5. 지원 서류 이력서(개발성과과제 등 포함..."
954f6da7c4562a6f,System Engineer,서울 강남구,,응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>네트워크·서버·보안>UNIX·LINUX계열 서버운영·관리
d430486b959b2ddb,빅데이터 플랫폼 및 데이터 파이프라인 구축 인력 (2분야),서울 종로구,,통신·모바일·게임>ERP·시스템분석·설계>빅데이터|인터넷·IT·통신·모바일·게임>통신·모바일>플랫폼(VM)|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
13ef6f86810c0843,"2022년 상반기 주식회사 쏘마 전 개발 직군 (백엔드, 프론트엔드 외 신입/경력 정규직)",성남 분당구,,트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공...
5e24e8a474ef5f96,응용소프트웨어 개발자(PYTHON) (신입/경력),경기도 하남,"연봉 40,000,000원 - 50,000,000원",[직무내용] <응용소프트웨어 개발자( PYTHON) 채용-신입/경력>하기 기술 항목 중 5할 이상 유겸험자 우대 - Python / C++ / Node.js... 항목 중 5할 이상 유경험자 우대- Python/ C++/ Node.js...
287a2f9783758916,new한국행동과학연구소 각 부문 수시,서울 강남구,,"CSS3, 모바일 프로젝트 및 반응형 웹구축 경험, 교육이수자 백엔드개발자 - 개발 및 유지보수 - java, python, php, nodejs 사용자- oracle, mysql 등 유경험자 근무조건 경영·인사·총무·사무..."
51df90967b46e8f0,[외국계 스타트업 미소] Business Analyst,서울,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL|인터넷·IT·통신·모바일·게임>데이터베이스...
f0295a73e3209a51,UX Researcher (정량/포트폴리오 없는 전형),서울 강남구,,방법으로 사용자의 패턴을 정량적으로 분석해요. 인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|마케팅·광고·홍보·조사>조사·분석·통계>설문·리서치·모니터링
f6a0cd3f6af36d15,"백엔드, Python 외 경력 정규직",서울 강남구,,개발 경력 5년 이상 또는 Python 개발 경력 1년 이상- React... 게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷·IT·통신...
aacec5dcf8689c28,newMetaverse 서비스 Graphics 개발자,서울 중구,,"필요 역량 및 직무 경험Unity 기반 상용 게임 / 모바일 앱을 실제 개발해본 경험프로그램 언어(C#, python 등)와 OpenGL, Vulkan 등 API를 이용한 개발 경험자격요건 인터넷·IT·통신·모바일·게임>응용..."
ef4f835e3c0b953e,newNetwork Engineer,서울 중구,,우대이런 경험이 있다면더욱 좋습니다.우대사항– (우대) 클라우드 및 네트워크 관련 자격증 보유자– (우대) Python/Shell script 가능자 인터넷·IT·통신·모바일·게임>네트워크·서버·보안>네트워크구축·운영·관리...
aac8e9355cb855ac,[인재풀] 아티스트 ART,서울,,3D Max등의 아트웍 툴 사용 경험 Max script 또는 Mel Script의 사용 경험 C# 또는 Python 언어에 대한 이해 및 활용 능력 아트웍 관련 툴 제작 또는 플러그인 제작 경험 Electronic...
135ebaa09a535c7e,[FashionGo korea] 추천 시스템 개발,성남 판교역,,"Linux, SQL/NoSQL 유경험자 - 컨테이너 기술 활용 경험 - C/C++, Java, golang, Python 등의 다양한 개발 언어 활용 경험 - Vespa-engine 경험 공통지원자격 - 병역필 혹은..."
75c348600e4ba140,국내 대기업 - 고객 데이터분석 포지션,서울,,"도출 경험자 - 데이터 분석 지식 및 분석 Tool((SQL, R, Python 등) 사용가능자 - 고객 Segmentation 및 타겟마케팅 실행... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
54caf3a3d845ffa3,[DI팀] 기계학습 Engineer (개인화 및 추천),서울 강남구,,용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신...
842f99fd48b546a0,추천 서비스 Applied Machine Learning Engineer,서울 중구,,"경험Docker, Kubernetes 기반 시스템 구축 경험 인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터..."
804087ce50438552,Data Analyst,서울,,"Big Data/ unstructured data. Strong SQL, experience with python for data analysis. Experience working with cloud data..."
dc7d4caf8bd4377f,new[일본계 대기업] FAE (Field Application Engineer) 모바일 viewing,서울 영등포구,,"일본어 가능자[우대사항]- Python, C/C++- Embedded... 서류합격자 개별 통보함.[키워드]이미지센서 / 전자회로 / PCB / Python C/C++ / Embedded system / 광학기술 전자·기계..."
e1e17acf489c69a6,"new[TmaxMetaverse/R&D] 게임 엔진, 게임 서버, 메타버스 스튜디오, Vision AI 엔진 개발...",성남 분당구,,"개발] - C++ 기반의 개발 경험자 - 멀티쓰레드, 네트워크 프로그래밍 지식 [Vision AI] - Python 기반의 개발 경험자 - Pytorch 및 Tensorflow 기반 Deep learning 모델 연구 경험..."
ad8621439e96b9a1,"newSoftware Engineer - Golang, Python, Android - Anbox Cloud",서울,,"Go and Python, and help customers... Solid programming experience in Go and Python System level programming (interaction..."
d08809180d5c7a39,스마트팩토리/MES 부문 경력,서울 강남구,,C#|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>통신·모바일>플랫폼(VM)|인터넷·IT·통신·모바일·게임>통신·모바일>서비스기...
582207ef91941686,Customer Experience Innovation Manager,서울 강남구,,으로 개선 가능한 고객의 Pain Point를 발굴해내요. 인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL|마케팅·광고·홍보·조사>조사·분석·통계>통계·SAS|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
298797630fdb1bd9,(주)미디어엠플러스 개발자 스크랩2 시바로지원,서울,,"및 운영 실시간 송출 관련 시스템 지원 자격조건 웹퍼블리셔 및 웹개발 HTML, CSS javascript Python 기본 문법 DB 모집기간 2022-04-21 ~ 2022-05-21 우대사항 react.js, redux..."
ca7a479e22ef60c7,Risk Manager (신용 RWA),서울 강남구,,해요. 금융·보험·증권>투자·분석·증권·외환>리스크매니저|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL|마케팅·광고·홍보·조사>조사·분석·통계>통계·SAS|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
37f97415cb17357e,백엔드 개발자,서울 영등포구,,Back-end 설계 및 개발( Python 기반) 실무 경력 4년이상... 프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>API|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신...
ba6a0ebb6ad9cd18,IT 인프라 운영 도구 개발,성남 판교역,,"모니터링 시스템 Web 개발 - 경력 4년 이상 - Linux 환경(LAMP) 경력 3년 이상 - Python, Django, Javascript, PHP 경험 - 다양한 Front-end 프레임 워크 사용 경험..."
b7b7dfbf2d9e59a5,서버 개발자,서울 강남구,"연봉 25,000,000원 - 35,000,000원","있으신 분- RDBMS, NoSQL에 대한 이해가 있으신 분우대사항- AWS 등 클라우드 환경 개발 경험- Python 또는 프로그래밍 언어 경험- 웹 개발 경험- Data 관리 경험- Typescript 사용 경험- Git..."
